Sector,Region,Year,GVA,Employment,Number of business sites
Telecoms,East Midlands,2011,688.0270302125487,,
Telecoms,East Midlands,2012,654.9999999999998,,
Telecoms,East Midlands,2013,636.9546344763736,,
Telecoms,East Midlands,2014,715.9999999999999,,0.619
Telecoms,East Midlands,2015,710.9765910512627,,0.641
Telecoms,East Midlands,2016,782.4849231999467,,
Telecoms,London,2010,5898.0,,
Telecoms,London,2011,6419.252190311555,,
Telecoms,London,2012,6574.999999999999,,
Telecoms,London,2013,7347.47669408539,,
Telecoms,London,2014,7362.999999999999,,2.194
Telecoms,London,2015,6936.771606360913,,2.29
Telecoms,London,2016,6936.569153366875,,
Telecoms,North East,2010,1008.0000000000001,,
Telecoms,North East,2011,1145.0449848740818,,
Telecoms,North East,2012,1195.0,,
Telecoms,North East,2013,1329.9052807748458,,
Telecoms,North East,2014,1613.9999999999998,,0.276
Telecoms,North East,2015,1886.9378724525077,,0.299
Telecoms,North East,2016,1578.9427914570354,,
Telecoms,North West,2010,2470.0,,
Telecoms,North West,2011,2362.092798491337,,
Telecoms,North West,2012,2400.9999999999995,,
Telecoms,North West,2013,2542.818893992807,,
Telecoms,North West,2014,2405.9999999999995,,1.067
Telecoms,North West,2015,2812.9073848483854,,1.113
Telecoms,North West,2016,2796.585146436544,,
Telecoms,Northern Ireland,2010,320.0,,
Telecoms,Northern Ireland,2011,328.0128864966802,,
Telecoms,Northern Ireland,2012,383.99999999999994,,
Telecoms,Northern Ireland,2013,449.9679521418651,,
Telecoms,Northern Ireland,2014,378.99999999999994,,0.175
Telecoms,Northern Ireland,2015,327.989200935041,,0.168
Telecoms,Northern Ireland,2016,355.3120314530371,,
Telecoms,Scotland,2010,1596.0,,
Telecoms,Scotland,2011,1576.0619180450242,,
Telecoms,Scotland,2012,1405.9999999999998,,
Telecoms,Scotland,2013,1532.8908236299542,,
Telecoms,Scotland,2014,1480.0,,0.663
Telecoms,Scotland,2015,1527.9496921608009,,0.683
Telecoms,Scotland,2016,1633.8365041815214,,
Telecoms,South East,2010,5661.0,,
Telecoms,South East,2011,5855.230031823361,,
Telecoms,South East,2012,6024.999999999999,,
Telecoms,South East,2013,6516.535875796746,,
Telecoms,South East,2014,7306.0,,1.975
Telecoms,South East,2015,7646.748230336154,,2.059
Telecoms,South East,2016,7591.301436044381,,
Telecoms,South West,2010,1420.0000000000002,,
Telecoms,South West,2011,1592.062546654618,,
Telecoms,South West,2012,1693.0000000000002,,
Telecoms,South West,2013,1557.8890431933908,,
Telecoms,South West,2014,1813.9999999999998,,0.952
Telecoms,South West,2015,1870.9383992361643,,0.985
Telecoms,South West,2016,1619.8635591243794,,
Telecoms,Wales,2010,554.0,,
Telecoms,Wales,2011,515.0202333713117,,
Telecoms,Wales,2012,489.9999999999999,,
Telecoms,Wales,2013,662.952782822348,,
Telecoms,Wales,2014,699.0,,0.36
Telecoms,Wales,2015,757.9750436242716,,0.354
Telecoms,Wales,2016,751.544830573418,,
Telecoms,West Midlands,2010,1589.0,,
Telecoms,West Midlands,2011,1445.0567713039718,,
Telecoms,West Midlands,2012,1474.0,,
Telecoms,West Midlands,2013,1473.8950254602426,,
Telecoms,West Midlands,2014,1721.9999999999998,,0.874
Telecoms,West Midlands,2015,1679.9446877160638,,0.909
Telecoms,West Midlands,2016,1741.6277946223304,,
Telecoms,Yorkshire and The Humber,2010,1443.9999999999998,,
Telecoms,Yorkshire and The Humber,2011,1509.0592857423485,,
Telecoms,Yorkshire and The Humber,2012,1458.9999999999998,,
Telecoms,Yorkshire and The Humber,2013,1392.9007940747072,,
Telecoms,Yorkshire and The Humber,2014,1530.9999999999998,,0.642
Telecoms,Yorkshire and The Humber,2015,1541.9492312251014,,0.667
Telecoms,Yorkshire and The Humber,2016,1678.7495418651918,,
Tourism,East,2014,,,28.65
Tourism,East,2015,,,29.412
Tourism,East Midlands,2014,,,19.194
Tourism,East Midlands,2015,,,19.69
Tourism,London,2014,,,62.737
Tourism,London,2015,,,64.928
Tourism,North East,2014,,,9.921
Tourism,North East,2015,,,10.242
Tourism,North West,2014,,,31.277
Tourism,North West,2015,,,32.214
Tourism,Northern Ireland,2014,,,7.383
Tourism,Northern Ireland,2015,,,7.522
Tourism,Scotland,2014,,,25.768
Tourism,Scotland,2015,,,26.193
Tourism,South East,2014,,,45.568
Tourism,South East,2015,,,46.551
Tourism,South West,2014,,,30.072
Tourism,South West,2015,,,30.628
Tourism,Wales,2014,,,14.21
Tourism,Wales,2015,,,14.507
Tourism,West Midlands,2014,,,22.799
Tourism,West Midlands,2015,,,23.417
Tourism,Yorkshire and The Humber,2014,,,23.115
Tourism,Yorkshire and The Humber,2015,,,23.809
